1,37
2,36
3,35
4,34
5,33
6,32
7,31
8,30
9,29
10,28
11,27
12,26
13,25
14,24
15,23
16,22
17,21
18,20
1,3,5,10,19
1,3,5,11,18
1,3,5,12,17
1,3,5,13,16
1,3,5,14,15
1,3,6,7,21
1,3,6,8,20
1,3,6,9,19
1,3,6,10,18
1,3,6,11,17
1,3,6,12,16
1,3,6,13,15
1,3,7,8,19
1,3,7,9,18
1,3,7,10,17
1,3,7,11,16
1,3,7,12,15
1,3,7,13,14
1,3,8,9,17
1,3,8,10,16
1,3,8,11,15
1,3,8,12,14
1,3,9,10,15
1,3,9,11,14
1,3,9,12,13
1,3,10,11,13
1,4,5,6,22
1,4,5,7,21
1,4,5,8,20
1,4,5,9,19
1,4,5,10,18
1,4,5,11,17
1,4,5,12,16
1,4,5,13,15
1,4,6,7,20
1,4,6,8,19
1,4,6,9,18
1,4,6,10,17
1,4,6,11,16
1,4,6,12,15
1,4,6,13,14
1,4,7,8,18
1,4,7,9,17
1,4,7,10,16
1,4,7,11,15
1,4,7,12,14
1,4,8,9,16
1,4,8,10,15
1,4,8,11,14
1,4,8,12,13
1,4,9,10,14
1,4,9,11,13
1,4,10,11,12
1,5,6,7,19
1,5,6,8,18
1,5,6,9,17
1,5,6,10,16
1,5,6,11,15
1,5,6,12,14
1,5,7,8,17
1,5,7,9,16
1,5,7,10,15
1,5,7,11,14
1,5,7,12,13
1,5,8,9,15
1,5,8,10,14
1,5,8,11,13
1,5,9,10,13
1,5,9,11,12
1,6,7,8,16
1,6,7,9,15
1,6,7,10,14
1,6,7,11,13
1,6,8,9,14
1,6,8,10,13
1,6,8,11,12
1,6,9,10,12
1,7,8,9,13
1,7,8,10,12
1,7,9,10,11
2,3,4,5,24
2,3,4,6,23
2,3,4,7,22
2,3,4,8,21
2,3,4,9,20
2,3,4,10,19
2,3,4,11,18
2,3,4,12,17
2,3,4,13,16
2,3,4,14,15
2,3,5,6,22
2,3,5,7,21
2,3,5,8,20
2,3,5,9,19
2,3,5,10,18
2,3,5,11,17
2,3,5,12,16
2,3,5,13,15
2,3,6,7,20
2,3,6,8,19
2,3,6,9,18
2,3,6,10,17
2,3,6,11,16
2,3,6,12,15
2,3,6,13,14
2,3,7,8,18
2,3,7,9,17
2,3,7,10,16
2,3,7,11,15
2,3,7,12,14
2,3,8,9,16
2,3,8,10,15
2,3,8,11,14
2,3,8,12,13
2,3,9,10,14
2,3,9,11,13
2,3,10,11,12
2,4,5,6,21
2,4,5,7,20
2,4,5,8,19
2,4,5,9,18
2,4,5,10,17
2,4,5,11,16
2,4,5,12,15
2,4,5,13,14
2,4,6,7,19
2,4,6,8,18
2,4,6,9,17
2,4,6,10,16
2,4,6,11,15
2,4,6,12,14
2,4,7,8,17
2,4,7,9,16
2,4,7,10,15
2,4,7,11,14
2,4,7,12,13
2,4,8,9,15
2,4,8,10,14
2,4,8,11,13
2,4,9,10,13
2,4,9,11,12
2,5,6,7,18
2,5,6,8,17
2,5,6,9,16
2,5,6,10,15
2,5,6,11,14
2,5,6,12,13
2,5,7,8,16
2,5,7,9,15
2,5,7,10,14
2,5,7,11,13
2,5,8,9,14
2,5,8,10,13
2,5,8,11,12
2,5,9,10,12
2,6,7,8,15
2,6,7,9,14
2,6,7,10,13
2,6,7,11,12
2,6,8,9,13
2,6,8,10,12
2,6,9,10,11
2,7,8,9,12
2,7,8,10,11
3,4,5,6,20
3,4,5,7,19
3,4,5,8,18
3,4,5,9,17
3,4,5,10,16
3,4,5,11,15
3,4,5,12,14
3,4,6,7,18
3,4,6,8,17
3,4,6,9,16
3,4,6,10,15
3,4,6,11,14
3,4,6,12,13
3,4,7,8,16
3,4,7,9,15
3,4,7,10,14
3,4,7,11,13
3,4,8,9,14
3,4,8,10,13
3,4,8,11,12
3,4,9,10,12
3,5,6,7,17
3,5,6,8,16
3,5,6,9,15
3,5,6,10,14
3,5,6,11,13
3,5,7,8,15
3,5,7,9,14
3,5,7,10,13
3,5,7,11,12
3,5,8,9,13
3,5,8,10,12
3,5,9,10,11
3,6,7,8,14
3,6,7,9,13
3,6,7,10,12
3,6,8,9,12
3,6,8,10,11
3,7,8,9,11
4,5,6,7,16
4,5,6,8,15
4,5,6,9,14
4,5,6,10,13
4,5,6,11,12
4,5,7,8,14
4,5,7,9,13
4,5,7,10,12
4,5,8,9,12
4,5,8,10,11
4,6,7,8,13
4,6,7,9,12
4,6,7,10,11
4,6,8,9,11
4,7,8,9,10
5,6,7,8,12
5,6,7,9,11
5,6,8,9,10
1,2,3,4,5,23
1,2,3,4,6,22
1,2,3,4,7,21
1,2,3,4,8,20
1,2,3,4,9,19
1,2,3,4,10,18
1,2,3,4,11,17
1,2,3,4,12,16
1,2,3,4,13,15
1,2,3,5,6,21
1,2,3,5,7,20
1,2,3,5,8,19
1,2,3,5,9,18
1,2,3,5,10,17
1,2,3,5,11,16
1,2,3,5,12,15
1,2,3,5,13,14
1,2,3,6,7,19
1,2,3,6,8,18
1,2,3,6,9,17
1,2,3,6,10,16
1,2,3,6,11,15
1,2,3,6,12,14
1,2,3,7,8,17
1,2,3,7,9,16
1,2,3,7,10,15
1,2,3,7,11,14
1,2,3,7,12,13
1,2,3,8,9,15
1,2,3,8,10,14
1,2,3,8,11,13
1,2,3,9,10,13
1,2,3,9,11,12
1,2,4,5,6,20
1,2,4,5,7,19
1,2,4,5,8,18
1,2,4,5,9,17
1,2,4,5,10,16
1,2,4,5,11,15
1,2,4,5,12,14
1,2,4,6,7,18
1,2,4,6,8,17
1,2,4,6,9,16
1,2,4,6,10,15
1,2,4,6,11,14
1,2,4,6,12,13
1,2,4,7,8,16
1,2,4,7,9,15
1,2,4,7,10,14
1,2,4,7,11,13
1,2,4,8,9,14
1,2,4,8,10,13
1,2,4,8,11,12
1,2,4,9,10,12
1,2,5,6,7,17
1,2,5,6,8,16
1,2,5,6,9,15
1,2,5,6,10,14
1,2,5,6,11,13
1,2,5,7,8,15
1,2,5,7,9,14
1,2,5,7,10,13
1,2,5,7,11,12
1,2,5,8,9,13
1,2,5,8,10,12
1,2,5,9,10,11
1,2,6,7,8,14
1,2,6,7,9,13
1,2,6,7,10,12
1,2,6,8,9,12
1,2,6,8,10,11
1,2,7,8,9,11
1,3,4,5,6,19
1,3,4,5,7,18
1,3,4,5,8,17
1,3,4,5,9,16
1,3,4,5,10,15
1,3,4,5,11,14
1,3,4,5,12,13
1,3,4,6,7,17
1,3,4,6,8,16
1,3,4,6,9,15
1,3,4,6,10,14
1,3,4,6,11,13
1,3,4,7,8,15
1,3,4,7,9,14
1,3,4,7,10,13
1,3,4,7,11,12
1,3,4,8,9,13
1,3,4,8,10,12
1,3,4,9,10,11
1,3,5,6,7,16
1,3,5,6,8,15
1,3,5,6,9,14
1,3,5,6,10,13
1,3,5,6,11,12
1,3,5,7,8,14
1,3,5,7,9,13
1,3,5,7,10,12
1,3,5,8,9,12
1,3,5,8,10,11
1,3,6,7,8,13
1,3,6,7,9,12
1,3,6,7,10,11
1,3,6,8,9,11
1,3,7,8,9,10
1,4,5,6,7,15
1,4,5,6,8,14
1,4,5,6,9,13
1,4,5,6,10,12
1,4,5,7,8,13
1,4,5,7,9,12
1,4,5,7,10,11
1,4,5,8,9,11
1,4,6,7,8,12
1,4,6,7,9,11
1,4,6,8,9,10
1,5,6,7,8,11
1,5,6,7,9,10
2,3,4,5,6,18
2,3,4,5,7,17
2,3,4,5,8,16
2,3,4,5,9,15
2,3,4,5,10,14
2,3,4,5,11,13
2,3,4,6,7,16
2,3,4,6,8,15
2,3,4,6,9,14
2,3,4,6,10,13
2,3,4,6,11,12
2,3,4,7,8,14
2,3,4,7,9,13
2,3,4,7,10,12
2,3,4,8,9,12
2,3,4,8,10,11
2,3,5,6,7,15
2,3,5,6,8,14
2,3,5,6,9,13
2,3,5,6,10,12
2,3,5,7,8,13
2,3,5,7,9,12
2,3,5,7,10,11
2,3,5,8,9,11
2,3,6,7,8,12
2,3,6,7,9,11
2,3,6,8,9,10
2,4,5,6,7,14
2,4,5,6,8,13
2,4,5,6,9,12
2,4,5,6,10,11
2,4,5,7,8,12
2,4,5,7,9,11
2,4,5,8,9,10
2,4,6,7,8,11
2,4,6,7,9,10
2,5,6,7,8,10
3,4,5,6,7,13
3,4,5,6,8,12
3,4,5,6,9,11
3,4,5,7,8,11
3,4,5,7,9,10
3,4,6,7,8,10
3,5,6,7,8,9
1,2,3,4,5,6,17
1,2,3,4,5,7,16
1,2,3,4,5,8,15
1,2,3,4,5,9,14
1,2,3,4,5,10,13
1,2,3,4,5,11,12
1,2,3,4,6,7,15
1,2,3,4,6,8,14
1,2,3,4,6,9,13
1,2,3,4,6,10,12
1,2,3,4,7,8,13
1,2,3,4,7,9,12
1,2,3,4,7,10,11
1,2,3,4,8,9,11
1,2,3,5,6,7,14
1,2,3,5,6,8,13
1,2,3,5,6,9,12
1,2,3,5,6,10,11
1,2,3,5,7,8,12
1,2,3,5,7,9,11
1,2,3,5,8,9,10
1,2,3,6,7,8,11
1,2,3,6,7,9,10
1,2,4,5,6,7,13
1,2,4,5,6,8,12
1,2,4,5,6,9,11
1,2,4,5,7,8,11
1,2,4,5,7,9,10
1,2,4,6,7,8,10
1,2,5,6,7,8,9
1,3,4,5,6,7,12
1,3,4,5,6,8,11
1,3,4,5,6,9,10
1,3,4,5,7,8,10
1,3,4,6,7,8,9
2,3,4,5,6,7,11
2,3,4,5,6,8,10
2,3,4,5,7,8,9
1,2,3,4,5,6,7,10
1,2,3,4,5,6,8,9
