1,30
2,29
3,28
4,27
5,26
6,25
7,24
8,23
9,22
10,21
11,20
12,19
13,18
14,17
15,16
1,2,28
1,3,27
1,4,26
1,5,25
1,6,24
1,7,23
1,8,22
1,9,21
1,10,20
1,11,19
1,12,18
1,13,17
1,14,16
2,3,26
2,4,25
2,5,24
2,6,23
2,7,22
2,8,21
2,9,20
2,10,19
2,11,18
2,12,17
2,13,16
2,14,15
3,4,24
3,5,23
3,6,22
3,7,21
3,8,20
3,9,19
3,10,18
3,11,17
3,12,16
3,13,15
4,5,22
4,6,21
4,7,20
4,8,19
4,9,18
4,10,17
4,11,16
4,12,15
4,13,14
5,6,20
5,7,19
5,8,18
5,9,17
5,10,16
5,11,15
5,12,14
6,7,18
6,8,17
6,9,16
6,10,15
6,11,14
6,12,13
7,8,16
7,9,15
7,10,14
7,11,13
8,9,14
8,10,13
8,11,12
9,10,12
1,2,5,6,8,9
1,3,4,5,6,12
1,3,4,5,7,11
1,3,4,5,8,10
1,3,4,6,7,10
1,3,4,6,8,9
1,3,5,6,7,9
1,4,5,6,7,8
2,3,4,5,6,11
2,3,4,5,7,10
2,3,4,5,8,9
2,3,4,6,7,9
2,3,5,6,7,8
1,2,3,4,5,6,10
1,2,3,4,5,7,9
1,2,3,4,6,7,8
